BC&T 2023						BC&T 2015 - 2017						BAC. COMPUTAÇÃO 2017						BAC. COMPUTAÇÃO 2023						BAC. DADOS 2024						ENG. IAR  2023						ENG. INFORMAÇÃO 2023						ENG. AERO 2023						ENG. GESTÃO 2023						ENG. MATERIAIS 2023						ENG. AMBIENTAL 2023						BAC. BIOTEC 2023						ENG. BIOMED 2023						ENG. ENERGIA 2023						BAC. NEUROCIÊNCIA 2023						BAC. FÍSICA 2023						BAC. MATEMÁTICA 2023						BAC. QUÍMICA 2023						BAC. BIOLÓGICAS 2023						BC&H 2020						BAC. ECONOMIA 2023						BAC. RI 2022						BAC. POLÍTICAS PÚBLICAS 2023						BAC, PLAN. TERRITORIAL 2022					
OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	Obrigatórias	Limitadas	Livres	Horas Complementares (Preencher)	Extensionistas (Preencher)	Carga total	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL
1008	384	720	240	48	2112	1068	684	528	0	120	2280	2568	360	144	0	120	3072	2424	288	192	328	48	2904	2136	288	168	294	48	2592	2976	204	120	372	48	3300	2868	240	192	372	48	3300	2880	228	192	372	48	3300	2808	240	180	372	48	3228	2712	336	252	372	48	3300	2916	192	192	48	372	3300	2672	168	168	48	321	2840	2748	360	192	48	372	3300	3072	48	180	48	372	3300	2016	288	144	278	48	2448	1704	240	288	240	48	2232	2184	288	144	296	48	2616	2232	228	144	295	48	2604	2720	432	192	378	48	3344	864	768	480	240	48	2112	2472	240	456	336	48	3168	2160	288	144	300	48	2592	2112	384	192	264	48	2688	2064	240	144	288	48	2448
OBRIGATORIAS		LIMITADAS				OBRIGATORIAS		LIMITADAS				OBRIGATORIAS		LIMITADAS				OBRIGATORIAS		LIMITADAS				OBRIGATORIAS		LIMITADAS				OBRIGATORIAS		LIMITADAS				OBRIGATORIAS		LIMITADAS				OBRIGATORIAS		LIMITADAS				OBRIGATORIAS		LIMITADAS				OBRIGATORIAS		LIMITADAS				OBRIGATORIAS		LIMITADAS				OBRIGATORIAS		LIMITADAS				OBRIGATORIAS		LIMITADAS				OBRIGATORIAS		LIMITADAS				OBRIGATORIAS		LIMITADAS				OBRIGATORIAS		LIMITADAS				OBRIGATORIAS		LIMITADAS				OBRIGATORIAS		LIMITADAS				OBRIGATORIAS		LIMITADAS				OBRIGATORIAS		LIMITADAS				OBRIGATORIAS		LIMITADAS				OBRIGATORIAS		LIMITADAS				OBRIGATORIAS		LIMITADAS				OBRIGATORIAS		LIMITADAS			
DISCIPLINA	HORAS	DISCIPLINA	HORAS			DISCIPLINA	HORAS	DISCIPLINA	HORAS			DISCIPLINA	HORAS	DISCIPLINA	HORAS			DISCIPLINA	HORAS	DISCIPLINA	HORAS			DISCIPLINA	HORAS	DISCIPLINA	HORAS			DISCIPLINA	HORAS	DISCIPLINA	HORAS			DISCIPLINA	HORAS	DISCIPLINA	HORAS			DISCIPLINA	HORAS	DISCIPLINA	HORAS			DISCIPLINA	HORAS	DISCIPLINA	HORAS			DISCIPLINA	HORAS	DISCIPLINA	HORAS			DISCIPLINA	HORAS	DISCIPLINA	HORAS			DISCIPLINA	HORAS	DISCIPLINA	HORAS			DISCIPLINA	HORAS	DISCIPLINA	HORAS			DISCIPLINA	HORAS	DISCIPLINA	HORAS			DISCIPLINA	HORAS	DISCIPLINA	HORAS			DISCIPLINA	HORAS	DISCIPLINA	HORAS			DISCIPLINA	HORAS	DISCIPLINA	HORAS			DISCIPLINA	HORAS	DISCIPLINA	HORAS			DISCIPLINA	HORAS	DISCIPLINA	HORAS			DISCIPLINA	HORAS	DISCIPLINA	HORAS			DISCIPLINA	HORAS	DISCIPLINA	HORAS			DISCIPLINA	HORAS	DISCIPLINA	HORAS			DISCIPLINA	HORAS	DISCIPLINA	HORAS			DISCIPLINA	HORAS	DISCIPLINA	HORAS		
FENOMENOS MECANICOS	60	FLORESTA AMAZONICA	72			FENOMENOS MECANICOS	60	ALGORITMOS E ESTRUTURAS DE DADOS I	48			FENOMENOS MECANICOS	60	ALGORITMOS PROBABILISTICOS	48			BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS	36	PESQUISA OPERACIONAL	72			FENOMENOS MECANICOS	60	INTRODUCAO A ECONOMIA	36			BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS	36	INTERAÇÕES ATÔMICAS E MOLECULARES	36			BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS	36	INTERAÇÕES ATÔMICAS E MOLECULARES	36			BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS	36	AERONAVES DIRIGÍVEIS	24			BASE EXPERIMENTAL DAS CIENCIAS NATURAIS	36	INTERACOES ATOMICAS E MOLECULARES	36			BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS	36	DESENHO UNIVERSAL E TECNOLOGIA ASSISTIVA	24			BASE EXPERIMENTAL DAS CIENCIAS NATURAIS	36	INTERACOES ATOMICAS E MOLECULARES	36			FENOMENOS MECANICOS	60	AVALIACAO DE IMPACTOS AMBIENTAIS	48			BASE EXPERIMENTAL DAS CIENCIAS NATURAIS	36	INTERACOES ATOMICAS E MOLECULARES	36			ÁLGEBRA LINEAR	72	INTERAÇÕES ATÔMICAS E MOLECULARES	36			BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS	36	MODELAGEM E CONTROLE	24			BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS	36	ESTADO E RELAÇÕES DE PODER	48			BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS	36	ÁLGEBRA COMUTATIVA	48			BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS	36	PROJETO ASSISTIDO POR COMPUTADOR	24			BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS	36	INTERAÇÕES ATÔMICAS E MOLECULARES	36			INTRODUÇÃO ÀS HUMANIDADES E ÀS CIÊNCIAS SOCIAIS	24	FENÔMENOS ELETROMAGNÉTICOS	60			INTRODUÇÃO ÀS HUMANIDADES E ÀS CIÊNCIAS SOCIAIS	24	PROCESSAMENTO DA INFORMAÇÃO	60			INTRODUÇÃO ÀS HUMANIDADES E ÀS CIÊNCIAS SOCIAIS	24	PROCESSAMENTO DA INFORMAÇÃO	60			INTRODUÇÃO ÀS HUMANIDADES E ÀS CIÊNCIAS SOCIAIS	24	PROCESSAMENTO DA INFORMAÇÃO	60			INTRODUÇÃO ÀS HUMANIDADES E ÀS CIÊNCIAS SOCIAIS	24	INTRODUÇÃO À ANÁLISE CUSTO-BENEFÍCIO DE POLÍTICAS PÚBLICAS	48		
FENOMENOS TERMICOS	48	LOGICA, COGNICAO E COMPUTACAO	36			FENOMENOS TERMICOS	48	ALGORITMOS E ESTRUTURAS DE DADOS II	48			FENOMENOS TERMICOS	48	ANALISE DE ALGORITMOS II	48			ESTRUTURA DA MATÉRIA	36	VISÃO COMPUTACIONAL	48			FENOMENOS TERMICOS	48	CONTABILIDADE BASICA	48			ESTRUTURA DA MATÉRIA	36	ENERGIA: ORIGENS, CONVERSÃO E USO	24			ESTRUTURA DA MATÉRIA	36	BASES CONCEITUAIS DA ENERGIA	24			ESTRUTURA DA MATÉRIA	36	DINÂMICA DAS ESTRUTURAS	48			ESTRUTURA DA MATERIA	36	ENERGIA: ORIGENS, CONVERSAO E USO	24			ESTRUTURA DA MATÉRIA	36	ENGENHARIA LABORAL	48			ESTRUTURA DA MATERIA	36	ENERGIA: ORIGENS, CONVERSAO E USO	24			FENOMENOS TERMICOS	48	BIOCOMBUSTIVEIS E BIORREFINARIAS	48			ESTRUTURA DA MATERIA	36	ENERGIA: ORIGENS, CONVERSAO E USO	24			ECONOMIA DA ENERGIA	48	ENERGIA: ORIGENS, CONVERSÃO E USO	24			ESTRUTURA DA MATÉRIA	36	COMPUTAÇÃO CIENTÍFICA APLICADA A PROBLEMAS BIOLÓGICOS	48			ESTRUTURA DA MATÉRIA	36	ÉTICA E JUSTIÇA	48			ESTRUTURA DA MATÉRIA	36	ANÁLISE MULTIVARIADA	72			ESTRUTURA DA MATÉRIA	36	MODELAGEM E CONTROLE	24			ESTRUTURA DA MATÉRIA	36	DESENVOLVIMENTO E SUSTENTABILIDADE	48			TEMAS E PROBLEMAS EM FILOSOFIA	36	FENÔMENOS MECÂNICOS	60			TEMAS E PROBLEMAS EM FILOSOFIA	36	GEOMETRIA ANALÍTICA	36			TEMAS E PROBLEMAS EM FILOSOFIA	36	DESENVOLVIMENTO SOCIOECONÔMICO	48			TEMAS E PROBLEMAS EM FILOSOFIA	36	FUNÇÕES DE UMA VARIÁVEL	48			TEMAS E PROBLEMAS EM FILOSOFIA	36	DESIGUALDADES DE RAÇA, GÊNERO E RENDA	48		
FENOMENOS ELETROMAGNETICOS	60	IMPACTOS DA ACAO HUMANA NA BIOSFERA	36			FENOMENOS ELETROMAGNETICOS	60	CIRCUITOS DIGITAIS	48			FENOMENOS ELETROMAGNETICOS	60	ANALISE DE PROJETO	24			EVOLUÇÃO E DIVERSIFICAÇÃO DA VIDA NA TERRA	36	INTRODUÇÃO À BIOINFORMÁTICA	48			FENOMENOS ELETROMAGNETICOS	60	MACROECONOMIA I	48			EVOLUÇÃO E DIVERSIFICAÇÃO DA VIDA NA TERRA	36	ROBÓTICA	48			EVOLUÇÃO E DIVERSIFICAÇÃO DA VIDA NA TERRA	36	DESENHO UNIVERSAL E TECNOLOGIA ASSISTIVA	24			EVOLUÇÃO E DIVERSIFICAÇÃO DA VIDA NA TERRA	36	DINÂMICA DO VOO	48			EVOLUCAO E DIVERSIFICACAO DA VIDA NA TERRA	36	ECONOMIA INTERNACIONAL	24			EVOLUÇÃO E DIVERSIFICAÇÃO DA VIDA NA TERRA	36	MECÂNICA DOS FLUIDOS I	48			EVOLUCAO E DIVERSIFICACAO DA VIDA NA TERRA	36	DESENHO UNIVERSAL E TECNOLOGIA ASSISTIVA	24			FENOMENOS ELETROMAGNETICOS	60	BIOLOGIA MOLECULAR E BIOTECNOLOGIA	36			EVOLUCAO E DIVERSIFICACAO DA VIDA NA TERRA	36	DESENHO UNIVERSAL E TECNOLOGIA ASSISTIVA	24			TERMODINÂMICA APLICADA I	48	DESENHO UNIVERSAL E TECNOLOGIA ASSISTIVA	24			EVOLUÇÃO E DIVERSIFICAÇÃO DA VIDA NA TERRA	36	MODELAGEM DE SISTEMAS DINÂMICOS I	48			EVOLUÇÃO E DIVERSIFICAÇÃO DA VIDA NA TERRA	36	IDENTIDADE E CULTURA	36			EVOLUÇÃO E DIVERSIFICAÇÃO DA VIDA NA TERRA	36	APROXIMAÇÃO TEÓRICA E NUMÉRICA II	48			EVOLUÇÃO E DIVERSIFICAÇÃO DA VIDA NA TERRA	36	INTRODUÇÃO AOS PROCESSOS DE FABRICAÇÃO	48			EVOLUÇÃO E DIVERSIFICAÇÃO DA VIDA NA TERRA	36	BASES CONCEITUAIS DA ENERGIA	24			IDENTIDADE E CULTURA	36	FENÔMENOS TÉRMICOS	48			IDENTIDADE E CULTURA	36	INTRODUÇÃO ÀS EQUAÇÕES DIFERENCIAIS ORDINÁRIAS	48			IDENTIDADE E CULTURA	36	ECONOMIA BRASILEIRA I	48			IDENTIDADE E CULTURA	36	FUNÇÕES DE VÁRIAS VARIÁVEIS	48			IDENTIDADE E CULTURA	36	CIDADANIA, DIREITOS E DESIGUALDADES	48		
EVOLUCAO E DIVERSIFICACAO DA VIDA NA TERRA	36	TEORIA DA EVOLUCAO, JOGOS EVOLUCIONARIOS E DINAMICA POPULACIONAL	48			INTRODUCAO AS EQUACOES DIFERENCIAIS ORDINARIAS	48	COMPILADORES E INTERPRETADORES	48			INTRODUCAO AS EQUACOES DIFERENCIAIS ORDINARIAS	48	ANEIS E CORPOS	48			BASES EPISTEMOLÓGICAS DA CIÊNCIA MODERNA	36	EMPREENDEDORISMO	48			INTRODUCAO AS EQUACOES DIFERENCIAIS ORDINARIAS	48	MACROECONOMIA III	48			BASES EPISTEMOLÓGICAS DA CIÊNCIA MODERNA	36	LÓGICA PROGRAMÁVEL	48			BASES EPISTEMOLÓGICAS DA CIÊNCIA MODERNA	36	FUNDAMENTOS DE PROCESSAMENTO GRÁFICO	48			BASES EPISTEMOLÓGICAS DA CIÊNCIA MODERNA	36	DINÂMICA E CONTROLE DE VEÍCULOS AÉREOS NÃO-TRIPULADOS DE ASAS ROTATIVAS	48			BASES EPISTEMOLOGICAS DA CIENCIA MODERNA	36	ENGENHARIA DE SEGURANCA DO TRABALHO: ERGONOMIA	48			BASES EPISTEMOLÓGICAS DA CIÊNCIA MODERNA	36	TERMODINÂMICA APLICADA	48			BASES EPISTEMOLOGICAS DA CIENCIA MODERNA	36	FUNDAMENTOS DE SINAIS E SISTEMAS DE TEMPO DISCRETO	24			INTRODUCAO AS EQUACOES DIFERENCIAIS ORDINARIAS	48	BIOQUIMICA EXPERIMENTAL	72			BASES EPISTEMOLOGICAS DA CIENCIA MODERNA	36	FUNDAMENTOS DE SINAIS E SISTEMAS DE TEMPO DISCRETO	24			ENERGIA, MEIO AMBIENTE E SOCIEDADE	48	TURBINAS E SISTEMAS EÓLICOS DE PEQUENO PORTE	24			BASES EPISTEMOLÓGICAS DA CIÊNCIA MODERNA	36	MÉTODOS MATEMÁTICOS APLICADOS A SISTEMAS BIOMÉDICOS	72			BASES EPISTEMOLÓGICAS DA CIÊNCIA MODERNA	36	ESTUDOS ÉTNICO-RACIAIS	36			BASES EPISTEMOLÓGICAS DA CIÊNCIA MODERNA	36	INTRODUÇÃO À ESTATÍSTICA BAYESIANA	48			BASES EPISTEMOLÓGICAS DA CIÊNCIA MODERNA	36	BIOSSEGURANÇA	48			BASES EPISTEMOLÓGICAS DA CIÊNCIA MODERNA	36	ESTUDOS DO MEIO FÍSICO	48			INTERPRETAÇÕES DO BRASIL	48	FÍSICA QUÂNTICA	36			INTERPRETAÇÕES DO BRASIL	48	ANÁLISE DE INDICADORES DE MICROECONOMIA E ECONOMIA INDUSTRIAL	96			INTERPRETAÇÕES DO BRASIL	48	ECONOMIA INSTITUCIONAL	48			INTERPRETAÇÕES DO BRASIL	48	DESENVOLVIMENTO SOCIOECONÔMICO	48			INTERPRETAÇÕES DO BRASIL	48	INTRODUÇÃO ÀS POLÍTICAS PÚBLICAS	48		
TRANSFORMACOES QUIMICAS	60	ESTADOS LIMITE DE SISTEMAS NATURAIS	48			INTERACOES ATOMICAS E MOLECULARES	36	COMPUTACAO GRAFICA	48			LOGICA BASICA	48	APRENDIZADO DE MAQUINA	48			BASES MATEMÁTICAS	48	GESTÃO ESTRATÉGICA E ORGANIZACIONAL	24			MATEMATICA DISCRETA	48	MICROECONOMIA I	48			BASES MATEMÁTICAS	48	MODELAGEM DE SISTEMAS ELETROMECÂNICOS	48			BASES MATEMÁTICAS	48	PROJETO DE SISTEMAS MULTIMÍDIA	24			BASES MATEMÁTICAS	48	FUNDAMENTOS DE NAVEGAÇÃO INERCIAL E GNSS	24			BASES MATEMATICAS	48	GESTAO AMBIENTAL EMPRESARIAL	48			BASES MATEMÁTICAS	48	TERMODINÂMICA APLICADA I	48			BASES MATEMATICAS	48	ELETROFISIOLOGIA E HEMODINAMICA CARDIACA	48			EVOLUCAO E DIVERSIFICACAO DA VIDA NA TERRA	36	BIOSSEGURANCA	48			BASES MATEMATICAS	48	ELETROFISIOLOGIA E HEMODINAMICA CARDIACA	48			SISTEMAS TÉRMICOS	48	INTRODUÇÃO AO PROJETO DE DISPOSITIVOS ELETROMAGNÉTICOS	60			BASES MATEMÁTICAS	48	TRANSFORMADAS EM SINAIS E SISTEMAS LINEARES	48			BASES MATEMÁTICAS	48	INTERPRETAÇÕES DO BRASIL	48			BASES MATEMÁTICAS	48	INTRODUÇÃO À GEOMETRIA RIEMANNIANA	48			BASES MATEMÁTICAS	48	ENGENHARIA NUCLEAR	48			BASES MATEMÁTICAS	48	PLANEJAMENTO E POLÍTICA AMBIENTAL	48			ESTRUTURA E DINÂMICA SOCIAL	36	INTERAÇÕES ATÔMICAS E MOLECULARES	36			ESTRUTURA E DINÂMICA SOCIAL	36	ECONOMIA NAS ESCOLAS	96			ESTRUTURA E DINÂMICA SOCIAL	36	RELAÇÕES COMERCIAIS E DE INVESTIMENTO INTERNACIONAIS	48			ESTRUTURA E DINÂMICA SOCIAL	36	ECONOMIA BRASILEIRA I	48			ESTRUTURA E DINÂMICA SOCIAL	36	MÉTODOS QUANTITATIVOS PARA CIÊNCIAS SOCIAIS	48		
BIODIVERSIDADE: INTERACOES ENTRE ORGANISMOS E AMBIENTE	36	INTRODUCAO A SISTEMAS COMPLEXOS	48			BASES CONCEITUAIS DA ENERGIA	24	COMPUTADORES, ETICA E SOCIEDADE	24			MATEMATICA DISCRETA	48	ARQUITETURA DE COMPUTADORES DE ALTO DESEMPENHO	48			BASES COMPUTACIONAIS DA CIÊNCIA	24	INFORMÁTICA INDUSTRIAL	48			CALCULO DE PROBABILIDADE	48	MICROECONOMIA II	48			BASES COMPUTACIONAIS DA CIÊNCIA	24	FUNDAMENTOS DE MÁQUINAS ELÉTRICAS	48			BASES COMPUTACIONAIS DA CIÊNCIA	24	INTERNET DAS COISAS E BLOCKCHAIN	48			BASES COMPUTACIONAIS DA CIÊNCIA	24	INTRODUÇÃO À ENGENHARIA DE SISTEMAS AEROESPACIAIS	24			BASES COMPUTACIONAIS DA CIENCIA	24	TOPICOS EM ENGENHARIA DE PRODUCAO NA INDUSTRIA AUTOMOTIVA	24			BASES COMPUTACIONAIS DA CIÊNCIA	24	MECÂNICA DOS FLUIDOS I	48			BASES COMPUTACIONAIS DA CIENCIA	24	PROJETO E DESENVOLVIMENTO DE SISTEMAS PARA ANALISE DE DADOS MEDICOS	48			TRANSFORMACOES QUIMICAS	60	BIOTECNOLOGIA AMBIENTAL E AGROINDUSTRIAL	48			BASES COMPUTACIONAIS DA CIENCIA	24	PROJETO E DESENVOLVIMENTO DE SISTEMAS PARA ANALISE DE DADOS MEDICOS	48			MECÂNICA DOS FLUIDOS II	48	GEOLOGIA GERAL	48			BASES COMPUTACIONAIS DA CIÊNCIA	24	SINAIS ALEATÓRIOS	48			BASES COMPUTACIONAIS DA CIÊNCIA	24	ESTUDOS DE GÊNERO	36			BASES COMPUTACIONAIS DA CIÊNCIA	24	INTRODUÇÃO À TEORIA ANALÍTICA DOS NÚMEROS	48			BASES COMPUTACIONAIS DA CIÊNCIA	24	ENGENHARIA DE COMBUSTÍVEIS FÓSSEIS	48			BASES COMPUTACIONAIS DA CIÊNCIA	24	CIÊNCIA DOS MATERIAIS BIOCOMPATÍVEIS	48			BASES COMPUTACIONAIS DA CIÊNCIA	24	TRANSFORMAÇÕES QUÍMICAS	60			BASES COMPUTACIONAIS DA CIÊNCIA	24	OFICINA DE ANÁLISE ECONÔMICA APLICADA	96			BASES COMPUTACIONAIS DA CIÊNCIA	24	FORMAÇÃO ECONÔMICA DO BRASIL	48			BASES COMPUTACIONAIS DA CIÊNCIA	24	ECONOMIA BRASILEIRA II	48			BASES COMPUTACIONAIS DA CIÊNCIA	24	POLÍTICAS SOCIAIS	48		
GEOMETRIA ANALITICA	36	TECNOLOGIA DOS PROCESSOS DE TRANSFORMACAO	96			BASE EXPERIMENTAL DAS CIENCIAS NATURAIS	36	FUNDAMENTOS DE ROBOTICA	48			ANALISE DE ALGORITMOS	48	AVALIACAO DE DESEMPENHO DE REDES	48			FENÔMENOS MECÂNICOS	60	SISTEMAS INTELIGENTES	48			ENG ENERGIA UFABC	48	MICROECONOMIA III	48			FENÔMENOS MECÂNICOS	60	FUNDAMENTOS DE CONVERSÃO DE ENERGIA ELÉTRICA	48			FENÔMENOS MECÂNICOS	60	OTIMIZAÇÃO EM REDES DE COMUNICAÇÃO	48			FENÔMENOS MECÂNICOS	60	LABORATÓRIO DE NAVEGAÇÃO INERCIAL E GNSS	24			FENOMENOS MECANICOS	60	TOPICOS EM ENGENHARIA DE PRODUCAO NA INDUSTRIA DE ALIMENTOS	48			FENÔMENOS MECÂNICOS	60	SEMINÁRIOS EM MATERIAIS AVANÇADOS	24			FENOMENOS MECANICOS	60	AVALIACAO DE TECNOLOGIAS EM SAUDE	24			BIODIVERSIDADE: INTERACOES ENTRE ORGANISMOS E AMBIENTE	36	BOTANICA ECONOMICA	48			FENOMENOS MECANICOS	60	AVALIACAO DE TECNOLOGIAS EM SAUDE	24			LABORATÓRIO DE MÁQUINAS ELÉTRICAS	24	TRANSMISSÃO DE ENERGIA ELÉTRICA EM CORRENTE CONTÍNUA	48			FENÔMENOS MECÂNICOS	60	VISÃO COMPUTACIONAL	48			FENÔMENOS MECÂNICOS	60	ANÁLISE DE SISTEMAS DINÂMICOS LINEARES	36			FENÔMENOS MECÂNICOS	60	INTRODUÇÃO À TEORIA DE HOMOLOGIA	48			FENÔMENOS MECÂNICOS	60	ENGENHARIA DE PETRÓLEO E GÁS	48			FENÔMENOS MECÂNICOS	60	BIOSSEGURANÇA	48			INTRODUÇÃO AO PENSAMENTO ECONÔMICO	36	BIOQUÍMICA: ESTRUTURA, PROPRIEDADES E FUNÇÕES DE BIOMOLÉCULAS	60			INTRODUÇÃO AO PENSAMENTO ECONÔMICO	36	OFICINAS EM ECONOMIA E HISTÓRIA DO ABC PAULISTA	96			INTRODUÇÃO AO PENSAMENTO ECONÔMICO	36	HISTÓRIA ECONÔMICA GERAL	48			INTRODUÇÃO AO PENSAMENTO ECONÔMICO	36	ECONOMIA INSTITUCIONAL	48			INTRODUÇÃO AO PENSAMENTO ECONÔMICO	36	AVALIAÇÃO E MONITORAMENTO DE POLÍTICAS PÚBLICAS	48		
