RA;Código_turma;Nome_Disciplina
11201712913;NA1ESHR006-13SB;FORMAÇÃO HISTÓRICA DA AMÉRICA LATINA
11201720004;NA1ESTU007-17SA;HABITAÇÃO E ASSENTAMENTOS HUMANOS
11201720005;NA1ESZM038-17SA;ENGENHARIA DE CERÂMICAS
11201720005;DA1ESZM021-17SA;MATÉRIAS PRIMAS CERÂMICAS
11201720032;DA1NHT5004-15SA;EDUCAÇÃO CIENTÍFICA, SOCIEDADE E CULTURA
11201720064;DA1NHBP006-23SA;MECÂNICA ESTATÍSTICA II
11201720064;DA1MCTB008-17SA;CÁLCULO DE PROBABILIDADE
11201720114;NA1MCTA004-17SA;ARQUITETURA DE COMPUTADORES
11201720116;NA1MCNC003-23SB;PROCESSAMENTO DE SINAIS NEURAIS
11201720116;NA1MCTC024-15SB;NEUROETOLOGIA
11201720116;NA1ESBM001-23SB;BIOMECÂNICA I
11201720120;DA1NHBP007-23SA;MECÂNICA QUÂNTICA I
11201720134;DA1NHZ4035-15SA;PROCESSOS INDUSTRIAIS ORGÂNICOS E INORGÂNICOS
11201720134;NA1MCZB035-17SA;EVOLUÇÃO DOS CONCEITOS MATEMÁTICOS
11201720138;NA1MCTB001-17SB;ÁLGEBRA LINEAR
11201720138;NA1ESHR006-13SB;FORMAÇÃO HISTÓRICA DA AMÉRICA LATINA
11201720138;NA1ESHR030-21SB;ESTUDOS ESTRATÉGICOS E DEFESA
11201720144;NA1MCTC011-15SB;PSICOLOGIA COGNITIVA
11201720188;NA1ESHP029-14SB;TEORIA E GESTÃO DE ORGANIZAÇÕES PÚBLICAS
11201720188;NA1ESHC003-17SB;DESENVOLVIMENTO SOCIOECONÔMICO
11201720190;NB1BCJ0203-15SA;FENÔMENOS ELETROMAGNÉTICOS
11201720208;DA1ESHR030-21SB;ESTUDOS ESTRATÉGICOS E DEFESA
11201720208;DA1ESHR016-21SB;SISTEMA FINANCEIRO INTERNACIONAL
11201720208;DA1ESHC013-21SB;RELAÇÕES COMERCIAIS E DE INVESTIMENTO INTERNACIONAIS
11201720208;DB1ESHC022-17SB;MACROECONOMIA I
11201720208;DA1ESHR006-13SB;FORMAÇÃO HISTÓRICA DA AMÉRICA LATINA
11201720216;NA1ESZI027-17SA;INFORMAÇÃO E SOCIEDADE
11201720218;DA1MCZA023-17SA;REDES CONVERGENTES
11201720276;NA1ESHR030-21SB;ESTUDOS ESTRATÉGICOS E DEFESA
11201720294;NA1ESIF001-23SA;CODIFICAÇÃO DE SINAIS MULTIMÍDIA
11201720294;NB1ESTI017-17SA;FUNDAMENTOS DE ELETROMAGNETISMO APLICADO
11201720294;NA1ESZI027-17SA;INFORMAÇÃO E SOCIEDADE
11201720344;NA1BHQ0003-15SB;INTERPRETAÇÕES DO BRASIL
11201720344;NA1ESHT005-17SB;ECONOMIA DO TERRITÓRIO
11201720344;NA1ESTO013-17SA;ENGENHARIA ECONÔMICA
11201720352;NA1NHH2087-16SB;HISTÓRIA DA FILOSOFIA MEDIEVAL: DO SÉCULO XI AO XIV
11201720354;NA1MCCC007-23SA;COMPUTAÇÃO GRÁFICA
11201720354;NA1MCTA004-17SA;ARQUITETURA DE COMPUTADORES
11201720364;NA1MCTA004-17SA;ARQUITETURA DE COMPUTADORES
11201720370;NA1LHE0001-19SB;HISTÓRIA, EUROCENTRISMO E PÓS-COLONIALISMO
11201720370;NA1ESZG013-17SB;EMPREENDEDORISMO
11201720370;NA1ESHR006-13SB;FORMAÇÃO HISTÓRICA DA AMÉRICA LATINA
11201720370;NA1ESHP004-13SB;CIDADANIA, DIREITOS E DESIGUALDADES
11201720370;NI1ESTS003-17SB;INTRODUÇÃO À ASTRONÁUTICA
11201720374;NA1NHT5004-15SA;EDUCAÇÃO CIENTÍFICA, SOCIEDADE E CULTURA
11201720374;DE1LCT1002-19SA;ESTÁGIO II NO ENSINO FUNDAMENTAL
11201720398;NB1ESTI007-17SA;COMUNICAÇÃO DIGITAL
11201720398;NA2ESTO011-17SA;FUNDAMENTOS DE DESENHO TÉCNICO
11201720398;NA2MCTB009-17SA;CÁLCULO NUMÉRICO
11201720398;NB1ESTO013-17SA;ENGENHARIA ECONÔMICA
11201720412;NA1ESTG023-17SB;ORGANIZAÇÃO DO TRABALHO
11201720412;NA1BHQ0301-15SB;TERRITÓRIO E SOCIEDADE
11201720412;NA1BHO1335-15SB;FORMAÇÃO DO SISTEMA INTERNACIONAL
11201720412;NA1MCTC007-20SB;COMUNICAÇÃO CIENTÍFICA
11201720412;NA1BHQ0001-15SB;IDENTIDADE E CULTURA
11201720412;NA1BHQ0003-15SB;INTERPRETAÇÕES DO BRASIL
11201720464;DB1MCTA028-15SA;PROGRAMAÇÃO ESTRUTURADA
11201720488;NA1NHZ1027-15SA;FARMACOLOGIA
11201720488;DA1NHT1057-15SA;GENÉTICA II
11201720498;DA1ESIR002-23SA;LÓGICA PROGRAMÁVEL
11201720498;NA2ESTE019-17SA;INSTALAÇÕES ELÉTRICAS I
11201720498;DI1ESTO015-17SB;MECÂNICA DOS FLUIDOS I
11201720518;NA1ESZG013-17SB;EMPREENDEDORISMO
11201720518;NA1NHT5004-15SA;EDUCAÇÃO CIENTÍFICA, SOCIEDADE E CULTURA
11201720518;NB1ESTI007-17SA;COMUNICAÇÃO DIGITAL
