Código da matéria;Nome da completo matéria;Campus;Horários;Docente teoria;Docente pratica;Arquivo_Origem
DE1ESZR007-21SB;A QUESTÃO NUCLEAR NAS RELAÇÕES INTERNACIONAIS;SB;"Prática: terça das 08:00 às 10:00, semanal; quinta das 10:00 às 12:00, semanal";ELIAS DAVID MORALES MARTINEZ;-;Resultados da classificação__.pdf
DA1ESZS019-17SB;AERODINÂMICA II;SB;"Teoria: quarta das 08:00 às 10:00, semanal; sexta das 10:00 às 12:00, semanal";KARL PETER BURR;-;Resultados da classificação__.pdf
DA1NHLH001-24SB;ANTIGUIDADES E USOS DO PASSADO;SB;"Teoria: terça das 10:00 às 12:00, semanal; sexta das 08:00 às 10:00, semanal";JULIANA CALDEIRA MONZANI;-;Resultados da classificação__.pdf
DA1ESTB029-17SB;ANÁLISE E CONTROLE DE SISTEMAS MECÂNICOS;SB;Teoria: terça das 10:00 às 12:00, semanal | Prática: sexta das 08:00 às 10:00, semanal;DANIEL BOARI COELHO;DANIEL BOARI COELHO;Resultados da classificação__.pdf
DA1ESZS016-17SB;ANÁLISE EXPERIMENTAL DE ESTRUTURAS;SB;"Prática: segunda das 14:00 às 16:00, semanal; quarta das 14:00 às 16:00, semanal";RICARDO GASPAR;RICARDO GASPAR;Resultados da classificação__.pdf
DA1ESZS012-17SB;APLICAÇÕES DE ELEMENTOS FINITOS PARA ENGENHARIA;SB;"Teoria: sexta das 08:00 às 10:00, quinzenal I; terça das 10:00 às 12:00, semanal | Prática: sexta das 08:00 às 10:00, quinzenal II";ANDRE SCHWANZ DE LIMA;ANDRE SCHWANZ DE LIMA;Resultados da classificação__.pdf
DI1MCZA002-17SB;APRENDIZADO DE MÁQUINA;SB;"Teoria: terça das 14:00 às 16:00, semanal; sexta das 14:00 às 16:00, semanal";AMANDA YUMI AMBRIOLA OKU;-;Resultados da classificação__.pdf
DA1ESHT001-17SB;ARRANJOS INSTITUCIONAIS E MARCO REGULATÓRIO DO TERRITÓRIO;SB;Teoria: segunda das 08:00 às 10:00, semanal;MARIANA MENZIO;-;Resultados da classificação__.pdf
DA1ESHR018-21SB;ATORES NÃO ESTATAIS E AS RELAÇÕES INTERNACIONAIS;SB;"Teoria: segunda das 08:00 às 10:00, semanal; quarta das 10:00 às 12:00, semanal";BARBARA ILZE SEMENSATO;-;Resultados da classificação__.pdf
DA1ESZG028-17SB;AUTOMAÇÃO EM SISTEMAS DE MANUFATURA;SB;"Teoria: segunda das 08:00 às 10:00, semanal; quinta das 10:00 às 12:00, semanal";THADEU ALFREDO FARIAS SILVA;THADEU ALFREDO FARIAS SILVA;Resultados da classificação__.pdf
DA1ESHP031-22SB;AVALIAÇÃO E MONITORAMENTO DE POLÍTICAS PÚBLICAS;SB;"Teoria: segunda das 08:00 às 10:00, semanal; quarta das 10:00 às 12:00, semanal";ROBERTA GUIMARAES PERES;ROBERTA GUIMARAES PERES;Resultados da classificação__.pdf
DA1NHBB005-23SB;AÇÕES EXTENSIONISTAS EM BOTÂNICA;SB;Teoria: quinta das 14:00 às 16:00, semanal;NATALIA PIRANI GHILARDI LOPES, ANSELMO NOGUEIRA;ANSELMO NOGUEIRA, NATALIA PIRANI GHILARDI LOPES;Resultados da classificação__.pdf
DA1BIS0005-15SB;BASES COMPUTACIONAIS DA CIÊNCIA;SB;Prática: segunda das 14:00 às 16:00, semanal;-;DAVID CORREA MARTINS JUNIOR;Resultados da classificação__.pdf
DA1BIR0004-15SB;BASES EPISTEMOLÓGICAS DA CIÊNCIA MODERNA;SB;"Teoria: segunda das 08:00 às 10:00, semanal; quarta das 10:00 às 12:00, quinzenal II";VICTOR XIMENES MARQUES;-;Resultados da classificação__.pdf
DB1BIR0004-15SB;BASES EPISTEMOLÓGICAS DA CIÊNCIA MODERNA;SB;"Teoria: segunda das 10:00 às 12:00, semanal; quarta das 08:00 às 10:00, quinzenal II";VICTOR XIMENES MARQUES;-;Resultados da classificação__.pdf
DA1BIS0003-15SB;BASES MATEMÁTICAS;SB;"Teoria: terça das 14:00 às 16:00, semanal; quinta das 16:00 às 18:00, semanal";IOANNIS PAPAGEORGIOU;-;Resultados da classificação__.pdf
DA1BCL0306-15SB;BIODIVERSIDADE: INTERAÇÕES ENTRE ORGANISMOS E AMBIENTE;SB;"Teoria: terça das 08:00 às 10:00, quinzenal I; quinta das 10:00 às 12:00, semanal";NATALIA PIRANI GHILARDI LOPES;-;Resultados da classificação__.pdf
DA2BCL0306-15SB;BIODIVERSIDADE: INTERAÇÕES ENTRE ORGANISMOS E AMBIENTE;SB;"Teoria: terça das 08:00 às 10:00, quinzenal I; quinta das 10:00 às 12:00, semanal";BRUNA HELENA DE CAMPOS;-;Resultados da classificação__.pdf
